like your gums were replaced with green peanut butter
3.12%:  green
0.01%:  like green peanut butter where it
0.01%:  like your teeth meet
0.01%:  like your teeth are grim
0.01%:  like my teeth are being
0.01%:  like your teeth are being g
0.01%:  like your teeth are being gum
0.01%:  like when your partner
0.01%:  like peanut butter where you weren
0.01%:  between your teeth like a mug
0.01%:  green or green
0.01%:  getting in your ears
0.01%:  green there
0.01%:  been like ten
0.01%:  like peanut butter when you were 
0.01%:  getting better
0.01%:  like the green parts between
0.01%:  super white
0.01%:  like your teeth are ru
0.01%:  like when you went
0.01%:  like between your teeth man
0.01%:  like your teeth are present
0.01%:  like a tree growing up there
0.01%:  utterly
0.01%:  between your teeth like a smug
0.01%:  been a week
0.01%:  like the entire rest
0.01%:  like between your gums where
0.01%:  like two
0.01%:  bright
0.01%:  like your teeth are being pr
0.01%:  like your breath st
0.01%:  like you were eating gre
0.01%:  like you put the
0.04%:  like you put the entire
0.01%:  been here
0.01%:  like there are green bits
0.01%:  not super green
0.01%:  like when your pet
0.01%:  been hours
0.01%:  between your teeth green
0.01%:  a green problem
0.01%:  being pretty
0.01%:  like your teeth are mut
0.01%:  between your teeth like n
0.01%:  like your teeth were turning
0.01%:  like your teeth are spewing butter
0.01%:  between your teeth like rum
0.01%:  utterly rep
0.01%:  like a tree growing between my
0.01%:  like when you turn
0.01%:  green in your
0.01%:  getting more
0.01%:  like you were the
0.01%:  like your entire teeth are p
0.01%:  your new theme
0.01%:  like you spent the better
0.01%:  like when we
0.01%:  one
0.01%:  like your teeth are pr
0.01%:  super between your teeth in like
0.01%:  u
0.01%:  between your gums like the
0.01%:  like the entire prem
0.01%:  like a tree between
0.01%:  like your teeth but
0.01%:  your time
0.01%:  not like it
0.01%:  in your teeth like a
0.01%:  not like green
0.01%:  your smile
0.01%:  between your teeth like a pet
0.01%:  the worst email
0.01%:  your teeth being like
0.01%:  like tiny green bugs
0.01%:  like between your teeth um
0.01%:  like those
0.01%:  like your teeth are tree
0.01%:  bother
0.01%:  pretty hum
0.01%:  between your teeth until we
0.01%:  between your teeth like water in
0.01%:  right between your le
0.01%:  like when you wear
0.01%:  like your teeth are pub
0.01%:  like your teeth are puber
0.01%:  between your teeth real super
0.01%:  between your teeth like rap
0.01%:  like seeing
0.01%:  pretty sure
0.01%:  unlike any
0.02%:  unlike any web
0.01%:  like your entire breath
0.01%:  not like there are
0.01%:  like eight
0.01%:  like a tree growing up between my
0.01%:  pesto between the
0.01%:  barely
0.01%:  barely green
0.01%:  super green between your te
0.01%:  way
0.04%:  way more
0.04%:  way more green
0.02%:  way better
0.01%:  way worse
0.01%:  like there is
0.01%:  super green in there but
0.01%:  ruining the party
0.01%:  super grim
0.01%:  like the trees
0.01%:  like you were sm
0.01%:  like twenty
0.01%:  like between your teeth times a
0.01%:  enough green
0.01%:  been super
0.01%:  between your teeth like gen
0.01%:  super in
0.06%:  super in there
0.01%:  super in your
0.01%:  the entire meal
0.01%:  like me
0.01%:  like your teeth were run
0.01%:  like you were eating but there
0.01%:  like your brain
0.01%:  real gre
0.01%:  like your teeth met
0.01%:  between your teeth like peas
0.01%:  between your teeth like a new
0.01%:  like your teeth are st
0.01%:  right between your pal
0.01%:  green green
0.01%:  green between your gums there
0.01%:  between your teeth like a re
0.01%:  pretty unlike
0.01%:  like your teeth are te
0.01%:  like when you get a bug
0.01%:  super green in the
0.01%:  between your teeth like a gem
0.01%:  like there are tiny green bugs
0.01%:  per
0.01%:  like you were there at
0.01%:  like you were hanging
0.01%:  like you were eating the green
0.01%:  green like your shirt
0.01%:  the number
0.01%:  me
0.01%:  between your teeth like peanuts
0.01%:  getting in your es
0.01%:  your teeth being green
0.01%:  like you ate three
0.01%:  time you
0.01%:  like when your parents meet
0.01%:  green bro
0.01%:  broken my teeth
0.01%:  right between your ear
0.01%:  like there were some pretty
0.01%:  getting real
0.01%:  right between your met
0.01%:  pretty green in there but
0.01%:  like your teeth are being pur
0.01%:  like your parents were getting
0.01%:  between your teeth like a sur
0.01%:  up there in your smile
0.01%:  written
0.01%:  like your teeth are wr
0.01%:  like your teeth but green
0.01%:  like between your teeth as
0.01%:  like that time we were super
0.07%:  like that time we were super young
0.01%:  like you put green
0.01%:  between your teeth like a ste
0.01%:  like your teeth are meeting up
0.01%:  awesome
0.01%:  like the rem
0.01%:  some pretty big
0.04%:  some pretty big green
0.01%:  like pesto green
0.01%:  right between your gums in
0.01%:  right in between your sweet
0.01%:  between your teeth like water runs
0.01%:  like you were wearing green
0.01%:  like the tongue
0.01%:  right between your gn
0.01%:  like there were two parties
0.01%:  like when you step
0.01%:  like tree
0.01%:  getting up
0.10%:  getting up there
0.07%:  getting up in there
0.03%:  getting up in your teeth
0.01%:  getting up in here
0.01%:  in between your teeth like 
0.01%:  like a monster
0.01%:  got like green
0.01%:  between your teeth like grim
0.01%:  like your teeth turn
0.01%:  like your teeth are getting rem
0.01%:  working better
0.01%:  like peanut butter in your m
0.01%:  like your teeth were water
0.01%:  big enough
0.01%:  between your teeth like a gu
0.01%:  like a p
0.01%:  right between your r
0.01%:  there in your
0.01%:  between your teeth like a sum
0.01%:  like your teeth were getting super
0.01%:  like the green army
0.01%:  like how
0.01%:  pretty white
0.01%:  like wearing
0.01%:  been a pretty
0.01%:  been a pretty rough
0.27%:  been a pretty rough week
0.01%:  between your teeth like gar
0.01%:  like your best
0.01%:  like when my tongue gets
0.01%:  like the new
0.01%:  between you teeth like
0.01%:  not green like
0.01%:  like trying to brush
0.01%:  either bro
0.01%:  getting pretty rank
0.01%:  between your teeth like put
0.01%:  like you went up
0.01%:  between your teeth like pres
0.01%:  like green pus
0.02%:  like green pus between
0.01%:  like that time we were super young but
0.01%:  keeping the
0.01%:  like your teeth are bigger
0.01%:  between your teeth like giant
0.01%:  like your teeth are being t
0.01%:  like you were eating green sp
0.01%:  between your teeth like ma
0.01%:  remark
0.01%:  between your teeth like s
0.03%:  between your teeth like sperm
0.01%:  getting worse by the week
0.01%:  been there a pretty
0.01%:  pretty he
0.01%:  super bright
0.01%:  three
0.01%:  between your teeth like pie
0.01%:  between your gums in
0.01%:  in between your teeth up
0.01%:  truly green
0.01%:  like the gre
0.01%:  between your teeth like super man
0.01%:  like being the
0.01%:  like being the guy
0.01%:  like your teeth are getting run
0.01%:  between your teeth like a prem
0.01%:  not like we
0.01%:  not like we were
0.01%:  there like it
0.01%:  pink
0.01%:  a pretty intense
0.03%:  a pretty intense web
0.01%:  like between your teeth times 
0.01%:  bright green in
0.01%:  between your teeth like em
0.01%:  between your teeth as we
0.01%:  like your teeth are entire
0.01%:  like the time we were on
0.01%:  like your teeth are spewing green m
0.01%:  putting your teeth
0.01%:  between your teeth up like
0.01%:  like your teeth are run
0.01%:  like you were at the super
0.01%:  like you were mug
0.01%:  time we
0.01%:  like the worst green
0.01%:  like when your partner gets
0.01%:  better you get
0.01%:  three weeks
0.01%:  like your teeth are n
0.01%:  like brown
0.01%:  like you were eating green but
0.01%:  like peanut butter sm
0.01%:  between your teeth like smug
0.01%:  between your teeth like times
0.01%:  like your teeth are penguin
0.01%:  like when your pants
0.01%:  between your teeth like a ret
0.01%:  like they put
0.01%:  like your teeth are written
0.01%:  in your gums like
0.01%:  between your teeth like a gri
0.01%:  like your teeth must be wearing
0.01%:  between your teeth like must
0.01%:  super tough
0.01%:  not great
0.01%:  like your teeth were r
0.01%:  like when your parent
0.01%:  like your teeth are bump
0.01%:  between your teeth like ramp
0.01%:  between your teeth like nut
0.01%:  sweet
0.01%:  like peanut butter where your gum
0.01%:  between your teeth re
0.01%:  pretty like
0.01%:  like between your gums where it
0.01%:  like ten
0.01%:  like ten times
0.01%:  right up between your m
0.01%:  between your teeth like a sup
0.01%:  between your teeth like a prime
0.01%:  between your teeth like spin
0.01%:  like when you trip
0.01%:  like the green guy
0.01%:  in between your teeth like gre
0.01%:  pro
0.01%:  like you were being pun
0.01%:  like a bug
0.01%:  truly between
0.01%:  like your teeth were up
0.01%:  like the entire green party
0.01%:  web
0.01%:  green between your teeth sir
0.01%:  right in between your m
0.01%:  ruining the rest
0.01%:  green like the green
0.01%:  between your 
0.01%:  the p
0.01%:  the pesto between
0.01%:  your teeth talking
0.01%:  between your teeth like ru
0.01%:  big green
0.01%:  like your teeth are super un
0.01%:  there pretty
0.01%:  like your teeth were eating super
0.01%:  like when my parents
0.01%:  in your teeth like super
0.01%:  like peanut butter on my
0.01%:  between your teeth like it means
0.01%:  right up between your sweet
0.01%:  like your teeth are tur
0.01%:  between your gums in like
0.04%:  between your gums in like three
0.01%:  like you are
0.01%:  like maybe
0.01%:  ruining your best
0.01%:  green like your teeth are
0.01%:  like when your parents write
0.01%:  like my teeth are being pun
0.01%:  like your teeth are super big
0.01%:  like trying to get
0.01%:  not like super
0.01%:  making us
0.01%:  pesto green
0.01%:  between two
0.01%:  like your teeth are putting me
0.01%:  the web
0.01%:  pretty wet
0.01%:  making you super un
0.01%:  my new
0.01%:  green you
0.01%:  upset
0.01%:  like your teeth get
0.01%:  like a green p
0.01%:  like you were being eaten
0.01%:  like water
0.01%:  in your teeth between
0.01%:  between your teeth like a spr
0.01%:  in between your gums there
0.01%:  between my teeth now
0.01%:  green between your teeth plus
0.01%:  like your teeth were eaten
0.01%:  green like the trees
0.01%:  like your teeth are being rem
0.01%:  like a green tur
0.01%:  like the tip
0.01%:  bur
0.02%:  burger
0.02%:  burger gre
0.01%:  between your teeth like rage
0.01%:  between your teeth like rain
0.01%:  like your teeth are teen
0.01%:  like the time you weren
0.01%:  like when you put water
0.01%:  re
0.01%:  like your teeth are being ser
0.01%:  sort
0.01%:  like the green in
0.01%:  the most
0.01%:  been in
0.08%:  been in there
0.03%:  been in your teeth like
0.01%:  been in there like
0.01%:  between teeth
0.01%:  like a big green mouth
0.01%:  the biggest pile
0.01%:  right between your gl
0.01%:  up between
0.23%:  up between your teeth like
0.02%:  up between your g
0.03%:  up between your gums right
0.02%:  up between your gums like
0.01%:  up between your gums there
0.01%:  up between your teeth like it
0.01%:  up between your gum
0.02%:  up between your gum line
0.01%:  like a green thumb up
0.01%:  getting on
0.01%:  like your teeth were being m
0.01%:  like green peanut butter here
0.01%:  like your teeth are being pet
0.01%:  between your teeth like ur
0.01%:  like there are tiny trees
0.01%:  turning you
0.01%:  between your teeth like rats
0.01%:  orange
0.01%:  getting like
0.01%:  your web
0.01%:  the problem
0.01%:  like there are trees
0.01%:  like your teeth are getting br
0.01%:  like the biggest party
0.01%:  like your teeth are 
0.01%:  like your teeth are being prem
0.01%:  between your teeth like a we
0.01%:  neither
0.02%:  neither green
0.01%:  like when you get spin
0.01%:  between your teeth talking
0.01%:  pretty sm
0.01%:  right between your un
0.01%:  there like a
0.01%:  between your teeth like a te
0.01%:  between your teeth like winter
0.01%:  like tiny green tree
0.01%:  between your teeth like a pur
0.01%:  between your teeth like a sun
0.01%:  like your teeth are bumpers
0.01%:  like the time you bur
0.01%:  like your teeth were a super
0.01%:  like when you rub
0.01%:  like the green part between your g
0.01%:  right between your sm
0.01%:  like your teeth are being gr
0.01%:  like you were putting the green
0.01%:  been making
